##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;(транзит);;;x
PROV1;Reykjavнk;Reykjavнk;Reykjavнk;Reykjavнk;Reykjavнk;Reykjavнk;;Рейкьявик;;;X
PROV2;Tуrshavn;Tуrshavn;Tуrshavn;Tуrshavn;Tуrshavn;Tуrshavn;;Хебн;;;X
PROV3;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;;Сторноуэй;;;X
PROV4;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;;Аз-Сувайз;;;X
PROV5;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;;Скапа-Флоу;;;X
PROV6;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;;Инвернесс;;;X
PROV7;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;;Абердин;;;X
PROV8;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;;Данфермлин;;;X
PROV9;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;;Глазго;;;X
PROV10;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;;Эдинбург;;;X
PROV11;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;;Сандерленд;;;X
PROV12;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;;Блэкпул;;;X
PROV13;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;;Шеффилд;;;X
PROV14;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;;Ливерпуль;;;X
PROV15;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;;Кардифф;;;X
PROV16;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;;Бирмингем;;;X
PROV17;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;;Норвич;;;X
PROV18;Calais;Calais;Calais;Calais;Calais;Calais;;Кале;;;X
PROV19;London;London;London;London;London;London;;Лондон;;;X
PROV20;Dover;Dover;Dover;Dover;Dover;Dover;;Дувр;;;X
PROV21;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;;Портсмут;;;X
PROV22;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;;Бристоль;;;X
PROV23;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;;Плимут;;;X
PROV24;Bre;Bre;Bre;Bre;Bre;Bre;;Корк;;;X
PROV25;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;;Голуэй;;;X
PROV26;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;;Слайго;;;X
PROV27;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;;Леттеркенни;;;X
PROV28;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;;Белфаст;;;X
PROV29;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;;Портадаун;;;X
PROV30;Baile Бtha Cliath;Baile Бtha Cliath;Baile Бtha Cliath;Baile Бtha Cliath;Baile Бtha Cliath;Baile Бtha Cliath;;Дублин;;;X
PROV31;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;;Мальта;;;X
PROV32;Brest;Brest;Brest;Brest;Brest;Brest;;Брест;;;X
PROV33;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;;Ренн;;;X
PROV34;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;;Лорьян;;;X
PROV35;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;;Нант;;;X
PROV36;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;;Анжер;;;X
PROV37;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;;Авранш;;;X
PROV38;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;;Шербур;;;X
PROV39;Caen;Caen;Caen;Caen;Caen;Caen;;Кан;;;X
PROV40;Argentan;Argentan;Argentan;Argentan;Argentan;Argentan;;Аржантан;;;X
PROV41;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;;Гавр;;;X
PROV42;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;;Дьепп;;;X
PROV43;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;;Дюнкерк;;;X
PROV44;Lille;Lille;Lille;Lille;Lille;Lille;;Лилль;;;X
PROV45;Brugge;Brugge;Brugge;Brugge;Brugge;Brugge;;Гент;;;X
PROV46;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;;Роттердам;;;X
PROV47;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;;Амстердам;;;X
PROV48;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;;Утрехт;;;X
PROV49;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;;Эйндховен;;;X
PROV50;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;;Антверпен;;;X
PROV51;Brussel;Brussel;Brussel;Brussel;Brussel;Brussel;;Брюссель;;;X
PROV52;Mons;Mons;Mons;Mons;Mons;Mons;;Монс;;;X
PROV53;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;;Валансьенн;;;X
PROV54;Laon;Laon;Laon;Laon;Laon;Laon;;Амьен;;;X
PROV55;Reims;Reims;Reims;Reims;Reims;Reims;;Компьен;;;X
PROV56;Paris;Paris;Paris;Paris;Paris;Paris;;Париж;;;X
PROV57;Chartres;Chartres;Chartres;Chartres;Chartres;Chartres;;Орлеан;;;X
PROV58;Tours;Tours;Tours;Tours;Tours;Tours;;Ле-Ман;;;X
PROV59;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;Bordeaux;;Шоле;;;X
PROV60;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;Poitiers;;Тур;;;X
PROV61;Bourges;Bourges;Bourges;Bourges;Bourges;Bourges;;Бурж;;;X
PROV62;Orlйans;Orlйans;Orlйans;Orlйans;Orlйans;Orlйans;;Осер;;;X
PROV63;Troyes;Troyes;Troyes;Troyes;Troyes;Troyes;;Труа;;;X
PROV64;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;Bar-le-Duc;;Реймс;;;X
PROV65;Namur;Namur;Namur;Namur;Namur;Namur;;Намюр;;;X
PROV66;Aachen;Aachen;Aachen;Aachen;Aachen;Aachen;;Аахен;;;X
PROV67;Essen;Essen;Essen;Essen;Essen;Essen;;Эссен;;;X
PROV68;Liиge;Liиge;Liиge;Liиge;Liиge;Liиge;;Льеж;;;X
PROV69;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;Hasselt;;Бастонь;;;X
PROV70;Arlon;Arlon;Arlon;Arlon;Arlon;Arlon;;Арлон;;;X
PROV71;Lлtzebuerg;Lлtzebuerg;Lлtzebuerg;Lлtzebuerg;Lлtzebuerg;Lлtzebuerg;;Люксембург;;;X
PROV72;Metz;Metz;Metz;Metz;Metz;Metz;;Мец;;;X
PROV73;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;Strasbourg;;Страсбург;;;X
PROV74;Saarbrьcken;Saarbrьcken;Saarbrьcken;Saarbrьcken;Saarbrьcken;Saarbrьcken;;Саарбрюкен;;;X
PROV75;Kцln;Kцln;Kцln;Kцln;Kцln;Kцln;;Кёльн;;;X
PROV76;Dьsseldorf;Dьsseldorf;Dьsseldorf;Dьsseldorf;Dьsseldorf;Dьsseldorf;;Дортмунд;;;X
PROV77;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;Arnhem;;Арнем;;;X
PROV78;Groningen;Groningen;Groningen;Groningen;Groningen;Groningen;;Леуварден;;;X
PROV79;Enschede;Enschede;Enschede;Enschede;Enschede;Enschede;;Гронинген;;;X
PROV80;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;Wilhelmshaven;;Вильгельмсхафен;;;X
PROV81;Mьnster;Mьnster;Mьnster;Mьnster;Mьnster;Mьnster;;Мюнстер;;;X
PROV82;Kassel;Kassel;Kassel;Kassel;Kassel;Kassel;;Кассель;;;X
PROV83;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;Bayreuth;;Швайнфурт;;;X
PROV84;Suhl;Suhl;Suhl;Suhl;Suhl;Suhl;;Эрфурт;;;X
PROV85;Landshut;Landshut;Landshut;Landshut;Landshut;Landshut;;Гёттинген;;;X
PROV86;Hannover;Hannover;Hannover;Hannover;Hannover;Hannover;;Ганновер;;;X
PROV87;Bremen;Bremen;Bremen;Bremen;Bremen;Bremen;;Бремен;;;X
PROV88;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;Hamburg;;Гамбург;;;X
PROV89;Lьbeck;Lьbeck;Lьbeck;Lьbeck;Lьbeck;Lьbeck;;Любек;;;X
PROV90;Kiel;Kiel;Kiel;Kiel;Kiel;Kiel;;Киль;;;X
PROV91;Еbenrе;Еbenrе;Еbenrе;Еbenrе;Еbenrе;Еbenrе;;Коллинг;;;X
PROV92;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;Aalborg;;Орхус;;;X
PROV93;Malmц;Malmц;Malmц;Malmц;Malmц;Malmц;;Мальме;;;X
PROV94;Serpuhov;Serpuhov;Serpuhov;Serpuhov;Serpuhov;Serpuhov;;Ногинск;;;X
PROV95;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Molodeczno;Moіodeczno;;Карлскруна;;;X
PROV96;Visby;Visby;Visby;Visby;Visby;Visby;;Готланд;;;X
PROV97;Kalmar;Kalmar;Kalmar;Kalmar;Kalmar;Kalmar;;Йёнчёпинг;;;X
PROV98;Gцteborg;Gцteborg;Gцteborg;Gцteborg;Gцteborg;Gцteborg;;Гётеборг;;;X
PROV99;Skцvde;Skцvde;Skцvde;Skцvde;Skцvde;Skцvde;;Скёвде;;;X
